user_id,item_id,category,gender,day,month
45,id_00005153-01_1,Tees_Tanks,WOMEN,18,10
45,id_00007681-02_1,Tees_Tanks,WOMEN,23,2
45,id_00005701-04_1,Dresses,WOMEN,9,1
46,id_00005244-01_4,Tees_Tanks,WOMEN,21,4
46,id_00006777-02_4,Tees_Tanks,WOMEN,5,3
46,id_00006857-02_7,Skirts,WOMEN,15,12
46,id_00001647-03_1,Pants,WOMEN,27,7
47,id_00004489-03_7,Tees_Tanks,WOMEN,14,12
48,id_00002431-02_4,Sweatshirts_Hoodies,MEN,19,5
48,id_00006535-02_1,Pants,MEN,6,4
48,id_00001092-03_1,Pants,MEN,1,5
48,id_00006830-05_7,Pants,MEN,18,4
48,id_00003311-01_4,Jackets_Vests,MEN,17,7
49,id_00007761-01_4,Blouses_Shirts,WOMEN,27,9
49,id_00004665-02_4,Jackets_Coats,WOMEN,10,3
50,id_00007104-02_1,Tees_Tanks,MEN,29,10
50,id_00001791-03_1,Tees_Tanks,MEN,23,10
50,id_00004084-01_7,Shorts,MEN,7,5
50,id_00000114-01_1,Pants,MEN,4,3
